"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2017","57.18","57.10","57.85","56.01","666.75K","1.19%"
"Oct 29, 2017","56.51","58.44","58.53","56.34","582.67K","-3.71%"
"Oct 26, 2017","58.69","60.79","60.79","58.27","591.09K","-3.72%"
"Oct 25, 2017","60.96","61.30","61.97","60.21","578.26K","-1.09%"
"Oct 24, 2017","61.63","61.97","63.06","60.88","1.75M","-0.42%"
"Oct 23, 2017","61.89","59.03","62.14","58.78","1.09M","5.74%"
"Oct 22, 2017","58.53","54.66","59.95","54.66","837.73K","6.75%"
"Oct 19, 2017","54.83","54.50","55.67","54.16","229.19K","-0.62%"
"Oct 18, 2017","55.17","55.25","55.76","54.83","109.29K","-0.59%"
"Oct 17, 2017","55.50","54.66","56.01","54.66","73.89K","1.06%"
"Oct 16, 2017","54.92","55.42","56.01","54.58","95.96K","-1.05%"
"Oct 15, 2017","55.50","54.58","56.26","53.74","133.38K","1.22%"
"Oct 12, 2017","54.83","55.42","56.09","54.33","154.12K","-1.51%"
"Oct 11, 2017","55.67","57.10","58.53","54.41","1.05M","-1.92%"
"Oct 10, 2017","56.76","55.59","57.94","55.59","620.56K","-0.30%"
"Oct 09, 2017","56.93","56.68","57.27","56.34","301.55K","0.14%"
"Oct 08, 2017","56.85","57.10","57.52","56.26","327.21K","0.30%"
"Oct 05, 2017","56.68","55.84","57.52","55.25","480.56K","1.20%"
"Oct 04, 2017","56.01","56.09","57.10","55.42","279.41K","0.30%"
"Oct 03, 2017","55.84","52.90","56.01","52.40","510.89K","5.56%"
"Oct 02, 2017","52.90","53.57","53.91","52.40","131.93K","-2.18%"
"Sep 28, 2017","54.08","53.15","54.41","52.90","139.43K","1.75%"
"Sep 27, 2017","53.15","53.57","53.74","52.90","139.70K","-0.78%"
"Sep 26, 2017","53.57","53.49","54.41","53.07","81.59K","-0.78%"
"Sep 25, 2017","53.99","52.90","55.00","52.90","226.99K","2.06%"
"Sep 24, 2017","52.90","53.15","53.57","52.82","74.09K","-0.64%"
"Sep 21, 2017","53.24","52.90","54.75","52.48","200.83K","0.32%"
"Sep 20, 2017","53.07","53.82","54.41","50.38","225.84K","-2.62%"
"Sep 19, 2017","54.50","53.99","55.00","53.74","159.70K","0.94%"
"Sep 18, 2017","53.99","56.01","56.01","53.74","275.02K","-4.17%"
"Sep 17, 2017","56.34","55.59","56.68","55.50","276.19K","1.81%"
"Sep 14, 2017","55.34","52.98","56.01","52.82","629.74K","4.61%"
"Sep 13, 2017","52.90","53.74","53.99","52.82","202.87K","-1.25%"
"Sep 12, 2017","53.57","53.74","54.08","53.07","229.66K","-0.17%"
"Sep 11, 2017","53.66","54.41","54.41","53.49","141.55K","-1.38%"
"Sep 10, 2017","54.41","54.83","55.00","53.74","170.92K","-0.17%"
"Sep 07, 2017","54.50","55.00","55.00","54.41","229.75K","-1.52%"
"Sep 06, 2017","55.34","55.92","55.92","55.17","171.64K","-0.75%"
"Sep 05, 2017","55.76","56.01","56.18","55.67","135.97K","-0.29%"
